iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,Pareto_f1,Pareto_f2
0,100.0,119.0,119.0,136.0,108.0,158.0,84.0,82.0,175.0,80.0,81.0,176.0,67.0,0.08515919205751454,0.6131221719457014
0,171.0,73.0,54.0,123.0,140.0,130.0,120.0,67.0,70.0,162.0,74.0,164.0,129.0,0.11391646696336871,0.609502262443439
0,112.0,131.0,14.0,143.0,71.0,153.0,161.0,78.0,121.0,76.0,172.0,43.0,56.0,0.1265833618623759,0.5434389140271493
0,141.0,21.0,62.0,170.0,155.0,85.0,32.0,46.0,75.0,179.0,154.0,81.0,73.0,0.1703183841150291,0.5176470588235295
0,155.0,31.0,31.0,115.0,166.0,96.0,178.0,139.0,17.0,30.0,126.0,123.0,27.0,0.1778500513522766,0.4995475113122172
0,88.0,45.0,78.0,30.0,180.0,141.0,172.0,130.0,21.0,107.0,19.0,154.0,20.0,0.19162957891133173,0.47737556561085975
0,28.0,91.0,108.0,160.0,128.0,103.0,173.0,17.0,62.0,130.0,92.0,12.0,76.0,0.2045532351934269,0.4751131221719457
0,23.0,50.0,97.0,168.0,88.0,36.0,69.0,37.0,100.0,66.0,161.0,115.0,146.0,0.20694967476891477,0.4642533936651584
0,150.0,14.0,43.0,32.0,93.0,180.0,98.0,40.0,152.0,91.0,151.0,36.0,42.0,0.21816158849709003,0.448868778280543
0,38.0,78.0,129.0,99.0,100.0,115.0,89.0,48.0,50.0,69.0,13.0,139.0,96.0,0.22304005477576172,0.42217194570135747
0,143.0,53.0,44.0,131.0,38.0,73.0,145.0,54.0,97.0,54.0,113.0,19.0,24.0,0.2577884286203355,0.38823529411764707
0,164.0,12.0,27.0,18.0,96.0,99.0,153.0,103.0,24.0,45.0,16.0,88.0,31.0,0.3604929818555289,0.3375565610859729
0,54.0,39.0,36.0,23.0,72.0,46.0,29.0,124.0,32.0,31.0,105.0,106.0,12.0,0.4439404313591236,0.26199095022624436
1,100.0,119.0,119.0,136.0,108.0,158.0,84.0,82.0,175.0,80.0,81.0,176.0,67.0,0.08515919205751454,0.6131221719457014
1,100.0,119.0,119.0,136.0,108.0,158.0,84.0,82.0,175.0,80.0,81.0,176.0,67.0,0.08515919205751454,0.6131221719457014
1,171.0,73.0,54.0,123.0,140.0,130.0,120.0,67.0,70.0,162.0,74.0,164.0,129.0,0.11391646696336871,0.609502262443439
1,171.0,73.0,54.0,123.0,140.0,130.0,120.0,67.0,70.0,162.0,74.0,164.0,129.0,0.11391646696336871,0.609502262443439
1,112.0,131.0,14.0,143.0,71.0,153.0,161.0,78.0,121.0,76.0,172.0,43.0,56.0,0.1265833618623759,0.5434389140271493
1,112.0,131.0,14.0,143.0,71.0,153.0,161.0,78.0,121.0,76.0,172.0,43.0,56.0,0.1265833618623759,0.5434389140271493
1,141.0,21.0,62.0,170.0,155.0,85.0,32.0,46.0,75.0,179.0,154.0,81.0,73.0,0.1703183841150291,0.5176470588235295
1,155.0,31.0,31.0,115.0,166.0,96.0,178.0,139.0,17.0,30.0,126.0,123.0,27.0,0.1778500513522766,0.4995475113122172
1,155.0,31.0,31.0,115.0,166.0,96.0,178.0,139.0,17.0,30.0,126.0,123.0,27.0,0.1778500513522766,0.4995475113122172
1,88.0,45.0,78.0,30.0,180.0,141.0,172.0,130.0,21.0,107.0,19.0,154.0,20.0,0.19162957891133173,0.47737556561085975
1,88.0,45.0,78.0,30.0,180.0,141.0,172.0,130.0,21.0,107.0,19.0,154.0,20.0,0.19162957891133173,0.47737556561085975
1,28.0,91.0,108.0,160.0,128.0,103.0,173.0,17.0,62.0,130.0,92.0,12.0,76.0,0.2045532351934269,0.4751131221719457
1,23.0,50.0,97.0,168.0,88.0,36.0,69.0,37.0,100.0,66.0,161.0,115.0,146.0,0.20694967476891477,0.4642533936651584
1,23.0,50.0,97.0,168.0,88.0,36.0,69.0,37.0,100.0,66.0,161.0,115.0,146.0,0.20694967476891477,0.4642533936651584
1,150.0,14.0,43.0,32.0,93.0,180.0,98.0,40.0,152.0,91.0,151.0,36.0,42.0,0.21816158849709003,0.448868778280543
1,150.0,14.0,43.0,32.0,93.0,180.0,98.0,40.0,152.0,91.0,151.0,36.0,42.0,0.21816158849709003,0.448868778280543
1,38.0,78.0,129.0,99.0,100.0,115.0,89.0,48.0,50.0,69.0,13.0,139.0,96.0,0.22304005477576172,0.42217194570135747
1,38.0,78.0,129.0,99.0,100.0,115.0,89.0,48.0,50.0,69.0,13.0,139.0,96.0,0.22304005477576172,0.42217194570135747
1,143.0,53.0,44.0,131.0,38.0,73.0,145.0,54.0,97.0,54.0,113.0,19.0,24.0,0.2577884286203355,0.38823529411764707
1,143.0,53.0,44.0,131.0,38.0,73.0,145.0,54.0,97.0,54.0,113.0,19.0,24.0,0.2577884286203355,0.38823529411764707
1,164.0,12.0,27.0,18.0,96.0,99.0,153.0,103.0,24.0,45.0,16.0,88.0,31.0,0.3604929818555289,0.3375565610859729
1,54.0,39.0,36.0,23.0,72.0,46.0,29.0,124.0,32.0,31.0,105.0,106.0,12.0,0.4439404313591236,0.26199095022624436
1,54.0,39.0,36.0,23.0,72.0,46.0,29.0,124.0,32.0,31.0,105.0,106.0,12.0,0.4439404313591236,0.26199095022624436
2,100.0,119.0,119.0,136.0,108.0,158.0,84.0,82.0,175.0,80.0,81.0,176.0,67.0,0.08515919205751454,0.6131221719457014
2,100.0,119.0,119.0,136.0,108.0,158.0,84.0,82.0,175.0,80.0,81.0,176.0,67.0,0.08515919205751454,0.6131221719457014
2,100.0,119.0,119.0,136.0,108.0,158.0,84.0,82.0,175.0,80.0,81.0,176.0,67.0,0.08515919205751454,0.6131221719457014
2,100.0,119.0,119.0,136.0,108.0,142.0,178.0,139.0,17.0,30.0,126.0,123.0,27.0,0.11254707292023279,0.5583710407239819
2,112.0,131.0,14.0,143.0,71.0,153.0,161.0,78.0,121.0,76.0,172.0,43.0,56.0,0.1265833618623759,0.5434389140271493
2,112.0,131.0,14.0,143.0,71.0,153.0,161.0,78.0,121.0,76.0,172.0,43.0,56.0,0.1265833618623759,0.5434389140271493
2,112.0,131.0,14.0,143.0,71.0,153.0,161.0,78.0,121.0,76.0,172.0,43.0,56.0,0.1265833618623759,0.5434389140271493
2,112.0,131.0,14.0,143.0,71.0,128.0,161.0,78.0,121.0,68.0,105.0,106.0,12.0,0.13411502909962342,0.5067873303167421
2,155.0,31.0,31.0,115.0,166.0,96.0,178.0,139.0,17.0,30.0,126.0,123.0,27.0,0.1778500513522766,0.4995475113122172
2,155.0,31.0,31.0,115.0,166.0,96.0,178.0,139.0,17.0,30.0,126.0,123.0,27.0,0.1778500513522766,0.4995475113122172
2,155.0,31.0,31.0,115.0,166.0,96.0,178.0,139.0,17.0,30.0,126.0,123.0,27.0,0.1778500513522766,0.4995475113122172
2,88.0,45.0,78.0,30.0,180.0,141.0,172.0,130.0,21.0,107.0,19.0,154.0,20.0,0.19162957891133173,0.47737556561085975
