iterID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f1,f2,Expected_f1,Uncertainty_f1,Acquisition_f1,Expected_f2,Uncertainty_f2,Acquisition_f2,Hypervolume_indicator
0,757.0,375.0,727.0,591.0,294.0,716.0,474.0,122.0,191.0,798.0,493.0,246.0,473.0,63.0,6257.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,528.0,333.0,182.0,656.0,226.0,490.0,522.0,484.0,214.0,606.0,777.0,372.0,503.0,75.0,5893.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,261.0,621.0,733.0,634.0,688.0,317.0,232.0,366.0,392.0,561.0,331.0,584.0,794.0,61.0,6514.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,310.0,479.0,603.0,277.0,490.0,187.0,491.0,633.0,357.0,199.0,535.0,443.0,718.0,70.0,5722.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,138.0,512.0,340.0,451.0,245.0,310.0,238.0,255.0,471.0,739.0,685.0,694.0,144.0,78.0,5222.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,563.0,499.0,489.0,316.0,554.0,726.0,478.0,335.0,723.0,227.0,261.0,579.0,136.0,61.0,5886.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,183.0,313.0,345.0,479.0,427.0,672.0,604.0,658.0,523.0,667.0,112.0,711.0,702.0,75.0,6396.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,626.0,738.0,496.0,589.0,103.0,147.0,789.0,762.0,129.0,361.0,769.0,506.0,124.0,71.0,6139.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,234.0,411.0,205.0,258.0,136.0,450.0,359.0,506.0,574.0,173.0,247.0,474.0,111.0,70.0,4138.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,469.0,601.0,362.0,220.0,621.0,276.0,312.0,239.0,175.0,129.0,662.0,449.0,413.0,68.0,4928.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,407.0,770.0,740.0,385.0,174.0,529.0,263.0,793.0,258.0,695.0,748.0,513.0,156.0,72.0,6431.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,431.0,605.0,680.0,293.0,392.0,505.0,572.0,348.0,646.0,123.0,220.0,736.0,582.0,69.0,6133.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,444.0,649.0,649.0,374.0,456.0,207.0,706.0,178.0,551.0,468.0,448.0,397.0,216.0,89.0,5743.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,361.0,719.0,160.0,495.0,121.0,494.0,776.0,630.0,378.0,196.0,313.0,173.0,319.0,63.0,5135.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,227.0,280.0,104.0,675.0,645.0,767.0,512.0,553.0,509.0,667.0,491.0,418.0,774.0,64.0,6622.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,202.0,442.0,285.0,360.0,698.0,743.0,210.0,569.0,595.0,190.0,585.0,750.0,165.0,73.0,5794.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,729.0,183.0,632.0,639.0,380.0,142.0,530.0,273.0,381.0,547.0,667.0,769.0,695.0,75.0,6567.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,596.0,292.0,402.0,786.0,577.0,197.0,671.0,589.0,766.0,580.0,205.0,729.0,636.0,75.0,7026.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,286.0,775.0,768.0,145.0,508.0,238.0,660.0,144.0,709.0,706.0,346.0,192.0,584.0,61.0,6061.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,384.0,716.0,441.0,648.0,480.0,245.0,368.0,791.0,113.0,266.0,690.0,210.0,129.0,65.0,5481.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,347.0,150.0,718.0,263.0,515.0,687.0,288.0,555.0,597.0,391.0,135.0,606.0,462.0,56.0,5714.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,792.0,124.0,307.0,602.0,660.0,321.0,464.0,711.0,280.0,269.0,216.0,317.0,425.0,80.0,5488.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,459.0,436.0,168.0,247.0,559.0,255.0,212.0,692.0,460.0,300.0,319.0,178.0,663.0,57.0,4948.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,135.0,350.0,465.0,581.0,613.0,751.0,149.0,155.0,690.0,417.0,697.0,463.0,372.0,79.0,5838.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,453.0,360.0,509.0,202.0,158.0,251.0,174.0,425.0,436.0,163.0,298.0,118.0,542.0,75.0,4089.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,606.0,249.0,519.0,192.0,368.0,119.0,434.0,438.0,759.0,311.0,722.0,761.0,603.0,64.0,6081.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,561.0,207.0,154.0,168.0,564.0,572.0,253.0,527.0,261.0,280.0,542.0,394.0,121.0,74.0,4604.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,685.0,560.0,526.0,526.0,572.0,414.0,260.0,344.0,494.0,347.0,304.0,778.0,435.0,69.0,6245.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,749.0,586.0,320.0,369.0,597.0,437.0,397.0,540.0,309.0,521.0,422.0,622.0,437.0,68.0,6306.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,521.0,552.0,644.0,544.0,634.0,681.0,203.0,292.0,370.0,756.0,118.0,637.0,337.0,70.0,6289.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,553.0,241.0,118.0,205.0,775.0,696.0,446.0,603.0,114.0,639.0,503.0,382.0,649.0,84.0,5924.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,570.0,429.0,257.0,430.0,688.0,663.0,514.0,575.0,623.0,759.0,759.0,159.0,625.0,70.0,7051.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,113.0,746.0,554.0,415.0,718.0,779.0,716.0,672.0,749.0,359.0,368.0,266.0,758.0,85.0,7213.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,768.0,673.0,778.0,107.0,409.0,230.0,159.0,752.0,686.0,535.0,106.0,758.0,479.0,73.0,6440.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,154.0,229.0,569.0,214.0,202.0,450.0,126.0,244.0,453.0,584.0,268.0,631.0,451.0,66.0,4575.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
0,344.0,107.0,273.0,620.0,240.0,291.0,692.0,675.0,197.0,631.0,469.0,654.0,741.0,77.0,5934.0,0.0,0.0,0.0,0.0,0.0,0.0,108242.0
